Year,State,Electricity_Generation,Solar_Generation,Hydro_Generation,Coal_Generation
2019,Tamil Nadu,101416.04,4465.2,4764.53,63371.11
2020,Tamil Nadu,94606.2,5959.14,5602.58,51620.700000000004
2021,Tamil Nadu,103126.14,6874.3099999999995,5299.900000000001,59039.89
2022,Tamil Nadu,113502.77,8620.89,6223.679999999999,63534.88
2023,Tamil Nadu,121489.89,11268.01,4291.11,69970.75
2024,Tamil Nadu,129682.18,14487.48,4631.23,75379.91
2019,Telangana,59700.71,6303.88,4245.08,48722.05
2020,Telangana,53734.14,6348.7699999999995,3548.15,43397.14
2021,Telangana,63878.35,6454.79,5909.23,50953.2
2022,Telangana,63858.47,6670.39,6133.78,50528.27
2023,Telangana,64026.64,6942.44,1553.15,55066.700000000004
2024,Telangana,69769.83,6848.12,5046.900000000001,57338.82
2019,Tripura,6704.99,4.430000000000001,30.17,0.0
2020,Tripura,6461.67,5.63,12.76,0.0
2021,Tripura,6399.38,6.109999999999999,6.08,0.0
2022,Tripura,6936.84,6.76,0.0,0.0
2023,Tripura,6823.72,5.29,0.0,0.0
2024,Tripura,5226.43,6.0,0.0,0.0
2019,Uttar Pradesh,129281.1,1364.31,1089.6999999999998,117450.36
2020,Uttar Pradesh,127926.62,1672.94,1776.3100000000002,114279.93
2021,Uttar Pradesh,141082.85,2690.8599999999997,1521.71,129071.37
2022,Uttar Pradesh,160193.22,3516.9,1270.11,148183.65000000002
2023,Uttar Pradesh,164890.26,3945.7799999999997,1132.88,152009.44
2024,Uttar Pradesh,172204.82,4607.06,1283.33,158863.04
2019,Uttarakhand,17502.77,340.41,15275.300000000001,0.0
2020,Uttarakhand,16047.92,349.74,15068.14,0.0
2021,Uttarakhand,16213.89,289.80999999999995,14172.34,0.0
2022,Uttarakhand,16575.0,330.76,16094.67,0.0
2023,Uttarakhand,15431.06,333.95,14590.44,0.0
2024,Uttarakhand,16893.04,333.76,15310.69,0.0
2019,West Bengal,77719.11,61.57,3110.23,73412.76
2020,West Bengal,72865.54,65.46000000000001,3150.4,68487.38
2021,West Bengal,87692.52,96.8,3373.7400000000002,82758.36
2022,West Bengal,91653.64,119.81,3536.5699999999997,86432.84
2023,West Bengal,95022.76,152.49,3119.9500000000003,90310.62
2024,West Bengal,97154.39,263.49,2820.46,92692.89
